Time_Step,Exit3_Mean,Exit3_SD,Exit4_Mean,Exit4_SD,Exit_flow3_Mean,Exit_flow3_SD,Exit_flow4_Mean,Exit_flow4_SD
72,0.28,0.536047515408392,0.2,0.45175395145262537,0.02,0.14142135623730948,0.02,0.14142135623730934
73,0.32,0.5510657577710261,0.26,0.5646020812962717,0.04,0.19794866372215747,0.06,0.23989793748209529
74,0.38,0.602376246923086,0.26,0.5646020812962717,0.06,0.23989793748209529,0.0,0.0
75,0.38,0.602376246923086,0.28,0.5728553615932407,0.0,0.0,0.02,0.14142135623730942
76,0.38,0.602376246923086,0.3,0.5802884574739972,0.0,0.0,0.02,0.14142135623730942
77,0.44,0.6439672954048369,0.34,0.6262945776223708,0.06,0.23989793748209526,0.04,0.19794866372215747
78,0.48,0.6464976285134147,0.42,0.6727949622466641,0.04,0.19794866372215753,0.08,0.3404678653660855
79,0.52,0.6464976285134149,0.48,0.7068181072487416,0.04,0.19794866372215744,0.06,0.2398979374820953
80,0.54,0.7059513771774764,0.48,0.7068181072487416,0.02,0.14142135623730948,0.0,0.0
81,0.58,0.7024737630368142,0.56,0.7602362683228613,0.04,0.19794866372215753,0.08,0.27404751561786983
82,0.58,0.7024737630368142,0.62,0.8302937763840221,0.0,0.0,0.06,0.23989793748209529
83,0.62,0.7253429871306344,0.62,0.8302937763840221,0.04,0.1979486637221575,0.0,0.0
84,0.66,0.7453255691854621,0.64,0.8270922757788646,0.04,0.19794866372215744,0.02,0.14142135623730948
85,0.66,0.7453255691854621,0.7,0.8630747123996123,0.0,0.0,0.06,0.23989793748209529
86,0.7,0.7626484465736649,0.74,0.8992059989632124,0.04,0.28284271247461884,0.04,0.19794866372215753
87,0.7,0.7626484465736649,0.76,0.8935140440635364,0.0,0.0,0.02,0.14142135623730942
88,0.78,0.763718080264209,0.82,0.8964783708421279,0.08,0.27404751561786966,0.06,0.23989793748209526
89,0.8,0.8081220356417685,0.84,0.8889342392059453,0.02,0.14142135623730936,0.02,0.1414213562373094
90,0.88,0.7989789402348321,0.9,0.90913729009699,0.08,0.2740475156178699,0.06,0.23989793748209526
91,0.88,0.7989789402348321,0.94,0.9775020225460572,0.0,0.0,0.04,0.1979486637221575
92,0.92,0.8533248298896042,0.96,0.9680613912055667,0.04,0.1979486637221575,0.02,0.14142135623730942
93,1.0,0.8571428571428572,0.98,0.979170827896788,0.08,0.27404751561786966,0.02,0.14142135623730936
94,1.02,0.8449127475783568,1.02,0.979170827896788,0.02,0.14142135623730942,0.04,0.1979486637221575
95,1.06,0.8429781995389674,1.06,0.9775020225460576,0.04,0.1979486637221575,0.04,0.19794866372215744
96,1.14,0.903733751653412,1.18,1.0631105688650893,0.08,0.27404751561786983,0.12,0.328260722659316
97,1.24,0.9380831519646861,1.22,1.0745668325195135,0.1,0.3030457633656631,0.04,0.1979486637221575
98,1.34,0.9391702807939202,1.34,1.0421719862765417,0.1,0.3642156795423417,0.12,0.3282607226593161
99,1.4,0.9258200997725514,1.36,1.0253919111386496,0.06,0.2398979374820953,0.02,0.14142135623730945
100,1.42,0.9055385138137418,1.42,1.0319389319061827,0.02,0.14142135623730945,0.06,0.23989793748209526
101,1.5,0.9313146293146641,1.54,1.1466010106183495,0.08,0.27404751561786983,0.12,0.3282607226593161
102,1.6,0.9258200997725514,1.56,1.145710723186481,0.1,0.3030457633656631,0.02,0.1414213562373095
103,1.7,0.994884876941723,1.6,1.1248582677159729,0.1,0.3030457633656631,0.04,0.1979486637221575
104,1.76,0.9380831519646858,1.62,1.104536101718726,0.06,0.23989793748209529,0.02,0.14142135623730936
105,1.82,1.0239977678547103,1.68,1.096190062471479,0.06,0.2398979374820953,0.06,0.2398979374820953
106,1.92,0.9864386572361182,1.8,1.178030178747903,0.1,0.303045763365663,0.12,0.328260722659316
107,1.98,1.0783585409580352,1.82,1.1899236813119314,0.06,0.23989793748209526,0.02,0.14142135623730936
108,2.0,1.0690449676496976,1.86,1.1782034057437292,0.02,0.14142135623730945,0.04,0.19794866372215741
109,2.04,1.0490034143249043,1.86,1.1782034057437292,0.04,0.1979486637221575,0.0,0.0
110,2.08,1.04666623337224,1.86,1.1782034057437292,0.04,0.1979486637221575,0.0,0.0
111,2.08,1.04666623337224,1.94,1.1851117229689223,0.0,0.0,0.08,0.27404751561786983
112,2.12,1.0621503025966343,1.94,1.1851117229689223,0.04,0.19794866372215744,0.0,0.0
113,2.16,1.0946996606096004,2.0,1.228903609577518,0.04,0.19794866372215753,0.06,0.23989793748209526
114,2.22,1.2001700559776127,2.04,1.211509431263668,0.06,0.23989793748209529,0.04,0.19794866372215741
115,2.26,1.1919800025716085,2.1,1.2330483215451478,0.04,0.1979486637221575,0.06,0.2398979374820953
116,2.34,1.1885508239972282,2.26,1.2747148540688125,0.08,0.2740475156178699,0.16,0.42185208743523994
117,2.38,1.2270755012281378,2.3,1.2494896917525642,0.04,0.1979486637221575,0.04,0.1979486637221575
118,2.42,1.2303973142933986,2.34,1.255355872789441,0.04,0.1979486637221575,0.04,0.1979486637221575
119,2.44,1.2480188381623745,2.36,1.2414606275657387,0.02,0.14142135623730948,0.02,0.14142135623730942
120,2.52,1.2328828005937955,2.42,1.2468736413731023,0.08,0.2740475156178699,0.06,0.23989793748209529
121,2.56,1.2315578321287028,2.46,1.2323861043536972,0.04,0.19794866372215744,0.04,0.19794866372215747
122,2.64,1.224911492012915,2.5,1.2330483215451478,0.08,0.34046786536608525,0.04,0.19794866372215747
123,2.68,1.236189008730511,2.56,1.2642655365621478,0.04,0.1979486637221575,0.06,0.23989793748209529
124,2.76,1.170382808472231,2.64,1.321100345336787,0.08,0.2740475156178698,0.08,0.34046786536608553
125,2.84,1.2348675877128175,2.7,1.2975644374703537,0.08,0.27404751561786983,0.06,0.2398979374820953
126,2.88,1.2229105462304397,2.72,1.2942573317606998,0.04,0.19794866372215741,0.02,0.1414213562373094
127,2.94,1.3000784905661091,2.78,1.3445278360974222,0.06,0.2398979374820953,0.06,0.23989793748209529
128,2.96,1.3241863115721677,2.8,1.355261854357877,0.02,0.14142135623730942,0.02,0.14142135623730934
129,3.02,1.37751625050602,2.86,1.370386508862908,0.06,0.23989793748209526,0.06,0.2398979374820953
130,3.08,1.38269184372147,2.88,1.3944496390757062,0.06,0.23989793748209523,0.02,0.14142135623730942
131,3.08,1.38269184372147,2.88,1.3944496390757062,0.0,0.0,0.0,0.0
132,3.14,1.3851987258888454,2.9,1.373956004405096,0.06,0.23989793748209526,0.02,0.1414213562373094
133,3.22,1.3596217961519406,2.94,1.3614218257965098,0.08,0.2740475156178697,0.04,0.1979486637221575
134,3.26,1.411469056677894,2.98,1.3169228201704586,0.04,0.1979486637221575,0.04,0.19794866372215747
135,3.36,1.425138732953134,3.06,1.2682946931101733,0.1,0.3030457633656631,0.08,0.27404751561786966
136,3.4,1.3997084244475302,3.12,1.2879345908096735,0.04,0.1979486637221575,0.06,0.23989793748209526
137,3.4,1.3997084244475302,3.14,1.2937841980100109,0.0,0.0,0.02,0.14142135623730942
138,3.46,1.4172407800269609,3.2,1.2777531299998799,0.06,0.2398979374820953,0.06,0.2398979374820953
139,3.5,1.417816660091372,3.3,1.3286482312670198,0.04,0.1979486637221575,0.1,0.303045763365663
140,3.52,1.4319958955590477,3.36,1.3364589215458855,0.02,0.14142135623730934,0.06,0.23989793748209529
141,3.62,1.426999134762262,3.44,1.3874069191061693,0.1,0.3030457633656632,0.08,0.27404751561786966
142,3.72,1.4291427429028343,3.46,1.402766945020026,0.1,0.30304576336566297,0.02,0.14142135623730948
143,3.74,1.4400963686574622,3.5,1.417816660091372,0.02,0.1414213562373094,0.04,0.1979486637221575
144,3.76,1.450685974261269,3.56,1.327265102781364,0.02,0.14142135623730942,0.06,0.23989793748209526
145,3.76,1.450685974261269,3.6,1.3997084244475304,0.0,0.0,0.04,0.19794866372215744
146,3.78,1.4609194756336557,3.68,1.391519504215534,0.02,0.14142135623730948,0.08,0.2740475156178697
147,3.84,1.4895554740270942,3.68,1.391519504215534,0.06,0.23989793748209526,0.0,0.0
148,3.88,1.4796579858541776,3.76,1.4222718245318444,0.04,0.1979486637221575,0.08,0.27404751561786983
149,3.9,1.4603605928757766,3.78,1.3893178475901955,0.02,0.14142135623730942,0.02,0.14142135623730948
150,3.92,1.4546196641551836,3.82,1.3804761083460608,0.02,0.14142135623730942,0.04,0.1979486637221575
151,3.96,1.4977534196664177,3.86,1.3851987258888454,0.04,0.1979486637221575,0.04,0.1979486637221575
152,3.98,1.4913355198120446,3.9,1.3739560044050962,0.02,0.14142135623730942,0.04,0.1979486637221575
153,4.08,1.5096965501283326,3.94,1.36142182579651,0.1,0.3030457633656629,0.04,0.19794866372215741
154,4.12,1.5732457026212805,3.94,1.36142182579651,0.04,0.19794866372215747,0.0,0.0
155,4.16,1.5565529682144268,3.98,1.332329554133033,0.04,0.19794866372215744,0.04,0.19794866372215744
156,4.2,1.551825784457174,4.0,1.2936264483053452,0.04,0.1979486637221575,0.02,0.14142135623730942
157,4.24,1.5979578804696644,4.02,1.3013336957733408,0.04,0.19794866372215744,0.02,0.14142135623730934
158,4.28,1.6167490686622983,4.02,1.3013336957733408,0.04,0.19794866372215741,0.0,0.0
159,4.28,1.6167490686622983,4.08,1.2751950631097941,0.0,0.0,0.06,0.23989793748209529
160,4.38,1.6021669000170373,4.1,1.2975644374703539,0.1,0.3030457633656632,0.02,0.14142135623730936
161,4.38,1.6021669000170373,4.16,1.3149066856004399,0.0,0.0,0.06,0.2398979374820953
162,4.46,1.5934816200601085,4.24,1.3180071536766622,0.08,0.2740475156178697,0.08,0.2740475156178698
163,4.56,1.655664365080048,4.28,1.3407277950457221,0.1,0.3642156795423417,0.04,0.1979486637221575
164,4.56,1.655664365080048,4.34,1.3341664064126333,0.0,0.0,0.06,0.2398979374820953
165,4.6,1.64130361329658,4.4,1.3248026422136723,0.04,0.19794866372215741,0.06,0.23989793748209526
166,4.68,1.6343256738371539,4.44,1.357669070916197,0.08,0.2740475156178698,0.04,0.19794866372215744
167,4.7,1.6567733578204573,4.44,1.357669070916197,0.02,0.14142135623730942,0.0,0.0
168,4.8,1.761261143705422,4.52,1.3738074605910067,0.1,0.30304576336566297,0.08,0.27404751561786966
169,4.82,1.769238277234769,4.56,1.4020393310154624,0.02,0.14142135623730948,0.04,0.19794866372215741
170,4.88,1.7686614332048185,4.6,1.3997084244475306,0.06,0.23989793748209529,0.04,0.19794866372215747
171,4.88,1.7686614332048185,4.64,1.3666583706401598,0.0,0.0,0.04,0.19794866372215744
172,4.88,1.7686614332048185,4.7,1.4033487645991787,0.0,0.0,0.06,0.2398979374820953
173,4.9,1.7641555764612102,4.76,1.3785529236359793,0.02,0.14142135623730942,0.06,0.23989793748209529
174,4.92,1.7594062078103605,4.78,1.4039303430595358,0.02,0.1414213562373094,0.02,0.14142135623730945
175,4.94,1.7660055238317014,4.78,1.4039303430595358,0.02,0.14142135623730945,0.0,0.0
176,4.96,1.7491688988587393,4.78,1.4039303430595358,0.02,0.1414213562373095,0.0,0.0
177,5.04,1.8178255680670705,4.82,1.4383947969305,0.08,0.2740475156178697,0.04,0.1979486637221575
178,5.1,1.8433554143662774,4.84,1.475791036587995,0.06,0.2398979374820953,0.02,0.14142135623730945
179,5.14,1.8627388218339536,4.86,1.4709430544340436,0.04,0.19794866372215741,0.02,0.1414213562373094
180,5.16,1.8334755665296514,4.96,1.5113178463357935,0.02,0.14142135623730948,0.1,0.30304576336566313
181,5.18,1.8371450788700185,4.98,1.5184578643196809,0.02,0.14142135623730948,0.02,0.14142135623730936
182,5.2,1.8070158058105024,4.98,1.5184578643196809,0.02,0.14142135623730945,0.0,0.0
183,5.24,1.8796439089598311,5.0,1.5518257844571737,0.04,0.19794866372215744,0.02,0.14142135623730948
184,5.26,1.8714830962613143,5.02,1.5318389642011652,0.02,0.14142135623730934,0.02,0.14142135623730942
185,5.36,1.9457960964550203,5.04,1.5380878667079734,0.1,0.3030457633656632,0.02,0.14142135623730942
186,5.42,1.8853895824340974,5.04,1.5380878667079734,0.06,0.23989793748209529,0.0,0.0
187,5.46,1.897474153517066,5.06,1.5572083865634918,0.04,0.19794866372215744,0.02,0.14142135623730936
188,5.46,1.897474153517066,5.08,1.5758379695014488,0.0,0.0,0.02,0.14142135623730942
189,5.48,1.897796789190356,5.1,1.5811388300841893,0.02,0.14142135623730942,0.02,0.14142135623730936
190,5.5,1.8762750766519567,5.1,1.5811388300841893,0.02,0.1414213562373095,0.0,0.0
191,5.52,1.8432446990044924,5.14,1.616370335419606,0.02,0.14142135623730936,0.04,0.1979486637221575
192,5.58,1.8745339556861615,5.14,1.616370335419606,0.06,0.23989793748209529,0.0,0.0
193,5.6,1.8405855323893037,5.22,1.632451518172492,0.02,0.14142135623730934,0.08,0.2740475156178698
194,5.64,1.8155788417505443,5.24,1.635823452377101,0.04,0.1979486637221575,0.02,0.1414213562373094
195,5.66,1.7912485669419043,5.28,1.6664761795905922,0.02,0.14142135623730945,0.04,0.1979486637221575
196,5.7,1.8653664081715133,5.3,1.6567733578204578,0.04,0.19794866372215744,0.02,0.14142135623730948
197,5.7,1.8653664081715133,5.34,1.6734420107267853,0.0,0.0,0.04,0.1979486637221575
198,5.74,1.8495448971383777,5.36,1.650726494360491,0.04,0.1979486637221575,0.02,0.1414213562373094
199,5.74,1.8495448971383777,5.4,1.6903085094570334,0.0,0.0,0.04,0.19794866372215747
200,5.78,1.821526608005897,5.46,1.6685567514031578,0.04,0.19794866372215753,0.06,0.2398979374820953
201,5.78,1.821526608005897,5.46,1.6685567514031578,0.0,0.0,0.0,0.0
202,5.78,1.821526608005897,5.54,1.7167838940226317,0.0,0.0,0.08,0.27404751561786983
203,5.82,1.814791830418878,5.56,1.704256376229342,0.04,0.19794866372215747,0.02,0.1414213562373094
204,5.82,1.814791830418878,5.56,1.704256376229342,0.0,0.0,0.0,0.0
205,5.86,1.8295756171242306,5.58,1.6913947873073902,0.04,0.19794866372215744,0.02,0.1414213562373095
206,5.86,1.8295756171242306,5.6,1.665986255670086,0.0,0.0,0.02,0.14142135623730948
207,5.88,1.8254437537100898,5.6,1.665986255670086,0.02,0.14142135623730945,0.0,0.0
208,5.96,1.851199280334293,5.64,1.6752703102021775,0.08,0.2740475156178698,0.04,0.1979486637221575
209,5.96,1.851199280334293,5.64,1.6752703102021775,0.0,0.0,0.0,0.0
210,5.96,1.851199280334293,5.7,1.6812288994199747,0.0,0.0,0.06,0.23989793748209529
211,6.0,1.8626292586293283,5.74,1.6880129605847347,0.04,0.19794866372215753,0.04,0.1979486637221575
212,6.02,1.9004832897697048,5.74,1.6880129605847347,0.02,0.1414213562373094,0.0,0.0
213,6.06,1.8996240229507073,5.78,1.7058123924885016,0.04,0.19794866372215747,0.04,0.19794866372215753
214,6.06,1.8996240229507073,5.8,1.737932151513777,0.0,0.0,0.02,0.14142135623730942
215,6.08,1.9255531937707713,5.88,1.7686614332048183,0.02,0.14142135623730942,0.08,0.2740475156178699
216,6.1,1.940439672458018,5.92,1.7824541669122542,0.02,0.14142135623730934,0.04,0.1979486637221575
217,6.12,1.9340134858023366,5.96,1.7723499907738083,0.02,0.1414213562373095,0.04,0.1979486637221575
218,6.14,1.9273541131694039,5.96,1.7723499907738083,0.02,0.1414213562373094,0.0,0.0
219,6.16,1.9520789545758541,6.0,1.7956864414252192,0.02,0.14142135623730934,0.04,0.1979486637221575
220,6.18,1.9555259222656858,6.04,1.806563995375684,0.02,0.1414213562373094,0.04,0.19794866372215741
221,6.18,1.9555259222656858,6.06,1.8228705776486553,0.0,0.0,0.02,0.14142135623730942
222,6.18,1.9555259222656858,6.12,1.82544375371009,0.0,0.0,0.06,0.23989793748209526
223,6.24,1.9541687517213249,6.16,1.8110770276274832,0.06,0.23989793748209526,0.04,0.19794866372215747
224,6.26,1.9775268000454405,6.16,1.8110770276274832,0.02,0.14142135623730936,0.0,0.0
225,6.26,1.9775268000454405,6.18,1.814791830418878,0.0,0.0,0.02,0.14142135623730936
226,6.3,2.012714686229339,6.18,1.814791830418878,0.04,0.19794866372215744,0.0,0.0
227,6.32,1.9840177747722532,6.2,1.7956864414252192,0.02,0.1414213562373094,0.02,0.1414213562373094
228,6.34,1.9546908519074342,6.22,1.8102880591615407,0.02,0.14142135623730936,0.02,0.14142135623730936
229,6.36,1.956256316414137,6.24,1.824549147553097,0.02,0.14142135623730948,0.02,0.1414213562373094
230,6.4,1.989769753883446,6.24,1.824549147553097,0.04,0.19794866372215741,0.0,0.0
231,6.42,1.9906926289252047,6.24,1.824549147553097,0.02,0.1414213562373094,0.0,0.0
232,6.42,1.9906926289252047,6.26,1.816140783898312,0.0,0.0,0.02,0.14142135623730934
233,6.44,2.021920687194758,6.28,1.8299102241835326,0.02,0.14142135623730948,0.02,0.14142135623730945
234,6.46,2.0224252969226457,6.3,1.8653664081715136,0.02,0.14142135623730934,0.02,0.14142135623730942
235,6.48,2.0227280023346124,6.3,1.8653664081715136,0.02,0.14142135623730942,0.0,0.0
236,6.48,2.0227280023346124,6.32,1.8454577442234448,0.0,0.0,0.02,0.14142135623730936
237,6.52,2.012613287469294,6.32,1.8454577442234448,0.04,0.19794866372215744,0.0,0.0
238,6.54,2.0021417104119847,6.34,1.8362561734937413,0.02,0.14142135623730936,0.02,0.1414213562373094
239,6.54,2.0021417104119847,6.36,1.8379225184086165,0.0,0.0,0.02,0.14142135623730942
240,6.54,2.0021417104119847,6.36,1.8379225184086165,0.0,0.0,0.0,0.0
